Year,Ratio,Population,
1900,39.6,76212168
1910,45.6,92228496
1920,51.2,106021537
1930,56.1,123202624
1940,56.5,132164569
1950,64.0,151325798
1960,69.9,179323175
1970,73.6,203302031
1980,73.7,226545805
1990,75.2,248709873
2000,79.0,281421906	
2010,80.7,308745538
